Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Sale price,Categories,Tags,Images,External URL,Button text,Meta: _affiliate_network,Meta: _merchant_brand
"external","cj-2e57216c2c0f8d191f21","White Noise 2 - Okiku","1","1","visible","This downloadable content for White Noise 2 allows you to play with Okiku, the Wretched Doll. It also includes a new Idol to use in the game","This downloadable content for White Noise 2 allows you to play with Okiku, the Wretched Doll. It also includes a new Idol to use in the game","none","1","","1.99","0.68","Accessories","cj,accessories,milkstonestudios","https://www.yuplay.com/media/products/white-noise-2-okiku/616/b076853800d3fe485f89f725ffed356607944303.jpg","https://www.yuplay.com/product/white-noise-2-okiku/?partner=cj","Ver Oferta","CJ","Milkstone Studios"
"external","cj-32137e01a15ea591b196","Magicka: Gamer Bundle","1","1","visible","The Gamer Bundle contains three new robes inspired by some of the developers favorite games. Armed to the teeth with new exciting gear these diverse robes wi...","The Gamer Bundle contains three new robes inspired by some of the developers favorite games. Armed to the teeth with new exciting gear these diverse robes wi...","none","1","","1.99","0.68","Accessories","cj,accessories,paradoxinteractive","https://www.yuplay.com/media/products/magicka-gamer-bundle/616/b8a67eaab8159bdf9d155e791123edbc350742b6.jpg","https://www.yuplay.com/product/magicka-gamer-bundle/?partner=cj","Ver Oferta","CJ","Paradox Interactive"
"external","cj-1b396ef6659b2050be40","March of Shrooms","1","1","visible","Ninety-nine years ago, mushrooms took to the skies, their spores landing on magical, floating islands and blossoming into a happy, joyous civilization. Unfor...","Ninety-nine years ago, mushrooms took to the skies, their spores landing on magical, floating islands and blossoming into a happy, joyous civilization. Unfor...","none","1","","6.99","2.39","Accessories","cj,accessories,indieio","https://www.yuplay.com/media/products/march-of-shrooms/616/b0b77abd899cbd0ab54628a3288c8c889b8eae98.jpg","https://www.yuplay.com/product/march-of-shrooms/?partner=cj","Ver Oferta","CJ","indie.io"
"external","cj-068a0fdfb489e316effc","Roll'd","1","1","visible","Enter the world of Roll'd where rolling comes in at a new degree.","Enter the world of Roll'd where rolling comes in at a new degree.","none","1","","0.99","0.34","Accessories","cj,accessories,foreverentertainmentsa","https://www.yuplay.com/media/products/rolld/616/3ccec93bccb377b1d88040ef145b65fb3d8b7616.jpg","https://www.yuplay.com/product/rolld/?partner=cj","Ver Oferta","CJ","Forever Entertainment S. A."
"external","cj-15ec5144a89430aed89e","Tropico 3 Absolute Power Expansion Pack","1","1","visible","Tropico 3: Absolute Power is the official expansion pack for the hit PC title Tropico 3. Your task is to lead a remote Caribbean island to prosperity, using ...","Tropico 3: Absolute Power is the official expansion pack for the hit PC title Tropico 3. Your task is to lead a remote Caribbean island to prosperity, using ...","none","1","","2.41","0.83","Home","cj,home,kalypsomedia","https://www.yuplay.com/media/products/tropico-3-absolute-power-expansion-pack/616/c89ee109d80273ecf1bf7833f7df7ef98c0d313c.jpg","https://www.yuplay.com/product/tropico-3-absolute-power-expansion-pack/?partner=cj","Ver Oferta","CJ","Kalypso Media"
"external","cj-1f955d6bddeb4d742dc9","Tactics Ogre Reborn","1","1","visible","Tactics Ogre, crown jewel of the tactical role-playing genre, is reborn!","Tactics Ogre, crown jewel of the tactical role-playing genre, is reborn!","none","1","","49.99","17.22","Accessories","cj,accessories,squareenix","https://www.yuplay.com/media/products/tactics-ogre-reborn/616/6421a3a8a4d350569f281bf485eaba055683414b.jpg","https://www.yuplay.com/product/tactics-ogre-reborn/?partner=cj","Ver Oferta","CJ","Square Enix"
"external","cj-102616c3551ba8262336","City of Gangsters: Atlantic City","1","1","visible","Start a crime syndicate from nothing, and grow it into a well-oiled money machine. Build speakeasies and illegal distilleries. Manage production chains and r...","Start a crime syndicate from nothing, and grow it into a well-oiled money machine. Build speakeasies and illegal distilleries. Manage production chains and r...","none","1","","4.99","1.72","Beauty","cj,beauty,kasedogames","https://www.yuplay.com/media/products/city-of-gangsters-atlantic-city/616/c06cc0336e9d1c262e9b36c74e419dbe0488bda2.jpg","https://www.yuplay.com/product/city-of-gangsters-atlantic-city/?partner=cj","Ver Oferta","CJ","Kasedo Games"
"external","cj-3eedb5171e5f699b4586","Total War : Shogun 2 - Otomo Clan Pack DLC","1","1","visible","The Otomo Clan Pack adds a new playable faction to Total War: SHOGUN 2 for use in single or multiplayer Campaign modes and Custom and Multiplayer Battles.","The Otomo Clan Pack adds a new playable faction to Total War: SHOGUN 2 for use in single or multiplayer Campaign modes and Custom and Multiplayer Battles.","none","1","","4.99","1.72","Accessories","cj,accessories,sega","https://www.yuplay.com/media/products/total-war-shogun-2-otomo-clan-pack-dlc/616/8d0f9053b57ae744abfa612f95eb55b343db11e7.jpg","https://www.yuplay.com/product/total-war-shogun-2-otomo-clan-pack-dlc/?partner=cj","Ver Oferta","CJ","SEGA"
"external","cj-3f61a4046430b919010a","Atelier Sophie 2: The Alchemist of the Mysterious Dream Digital Deluxe Edition","1","1","visible","A mysterious story of a mysterious dream ... This is a story about one of the adventures Sophie the Alchemist had after she left her hometown of Kirchen Bell.","A mysterious story of a mysterious dream ... This is a story about one of the adventures Sophie the Alchemist had after she left her hometown of Kirchen Bell.","none","1","","69.99","24.17","Home","cj,home,koeitecmogamescoltd","https://www.yuplay.com/media/products/atelier-sophie-2-the-alchemist-of-the-mysterious-dream-digital-deluxe-edition/616/7a339a8de5c2fdb3f22d8c502ceea1ac8d32ea4b.jpg","https://www.yuplay.com/product/atelier-sophie-2-the-alchemist-of-the-mysterious-dream-digital-deluxe-edition/?partner=cj","Ver Oferta","CJ","KOEI TECMO GAMES CO., LTD."
"external","cj-331f919ff1f8ed454e9c","theHunter: Call of the Wild - Saseka Safari Trophy Lodge","1","1","visible","It's time to present your prize trophies in the fashion they deserve. The luxurious and exotic design of the Saseka Safari is perfect to show off your single...","It's time to present your prize trophies in the fashion they deserve. The luxurious and exotic design of the Saseka Safari is perfect to show off your single...","none","1","","3.99","1.38","Home","cj,home,expansiveworlds","https://www.yuplay.com/media/products/thehunter-call-of-the-wildtm-saseka-safari-trophy-lodge/616/2975a7d4f4a7ef4ccb5f38f401f2bc8690f864ef.jpg","https://www.yuplay.com/product/thehunter-call-of-the-wildtm-saseka-safari-trophy-lodge/?partner=cj","Ver Oferta","CJ","Expansive Worlds"
"external","cj-3b1974491d046d40e3c8","Crouching Pony Hidden Dragon","1","1","visible","Sense&#239; is the undisputed chieftain. His followers are well versed in every extortion, infiltration and martial art. Pony and Biki are his best students,...","Sense&#239; is the undisputed chieftain. His followers are well versed in every extortion, infiltration and martial art. Pony and Biki are his best students,...","none","1","","1.59","0.55","Accessories","cj,accessories,nekoentertainment","https://www.yuplay.com/media/products/crouching-pony-hidden-dragon/616/456894ee64401d73eff9b6826623a660003bd05b.jpg","https://www.yuplay.com/product/crouching-pony-hidden-dragon/?partner=cj","Ver Oferta","CJ","Neko Entertainment"
"external","cj-2e6cbfaae324cf6cef49","Murky Divers","1","1","visible","Dive with a team of up to 4 to the bottom of the ocean. Your mission: Remove all corpses from Pharma Corps' abandoned labs. Erase any evidence of their faile...","Dive with a team of up to 4 to the bottom of the ocean. Your mission: Remove all corpses from Pharma Corps' abandoned labs. Erase any evidence of their faile...","none","1","","8.99","3.11","Accessories","cj,accessories,embers","https://www.yuplay.com/media/products/murky-divers/616/ee480d2fe98599abefb584d28e5aa8f429515113.jpg","https://www.yuplay.com/product/murky-divers/?partner=cj","Ver Oferta","CJ","Embers"
"external","cj-18c8165f4cace9694ca6","Capcom Fighting Collection 1 + 2 Bundle","1","1","visible","Items included in this packageCapcom Fighting CollectionCapcom Fighting Collection 2Capcom Fighting Collection 2 - SP BONUS TRACKS by CAP-JAMSCapcom Fighting...","Items included in this packageCapcom Fighting CollectionCapcom Fighting Collection 2Capcom Fighting Collection 2 - SP BONUS TRACKS by CAP-JAMSCapcom Fighting...","none","1","","59.99","20.78","Accessories","cj,accessories,capcom","https://www.yuplay.com/media/products/capcom-fighting-collection-1-plus-2-bundle/616/7bb965445cc35d43cb97173998a068c6d8157206.jpg","https://www.yuplay.com/product/capcom-fighting-collection-1-plus-2-bundle/?partner=cj","Ver Oferta","CJ","Capcom"
"external","cj-1f09f3f505939fb599dd","RIDE 5","1","1","visible","Rev up your engine and get ready to hit the track with RIDE 5.","Rev up your engine and get ready to hit the track with RIDE 5.","none","1","","59.99","20.82","Books","cj,books,milestonesrl","https://www.yuplay.com/media/products/ride-5/616/8c8048ee7160f8ca25c2c5fdd874517507751373.jpg","https://www.yuplay.com/product/ride-5/?partner=cj","Ver Oferta","CJ","Milestone SRL"
"external","cj-216e33ae2e6e162b30e3","GRAVEN - Deluxe Edition","1","1","visible","Action, mystery, and a chance for redemption await you in the gritty action first person puzzler GRAVEN.","Action, mystery, and a chance for redemption await you in the gritty action first person puzzler GRAVEN.","none","1","","29.67","10.30","Books","cj,books,fulqrumpublishing","https://www.yuplay.com/media/products/graven-deluxe-edition/616/b026b0b68f06ef2ec43de8bfdf6831a328a0d212.jpg","https://www.yuplay.com/product/graven-deluxe-edition/?partner=cj","Ver Oferta","CJ","Fulqrum Publishing"
"external","cj-1f78b09f01cdd360d93b","Gangs of Sherwood - Alan-a-Dale Alternative Skin","1","1","visible","The band's minstrel and puppeteer has more than one costume up his sleeve. He will look his best each time you meet during the adventure and in your hideout.","The band's minstrel and puppeteer has more than one costume up his sleeve. He will look his best each time you meet during the adventure and in your hideout.","none","1","","2.99","1.04","Accessories","cj,accessories,nacon","https://www.yuplay.com/media/products/gangs-of-sherwood-alan-a-dale-alternative-skin/616/49716224dfd37b48094b8dfd86822984339de541.jpg","https://www.yuplay.com/product/gangs-of-sherwood-alan-a-dale-alternative-skin/?partner=cj","Ver Oferta","CJ","Nacon"
"external","cj-1159c0413d1e91765ac8","Combat Mission Battle for Normandy - Market Garden","1","1","visible","CMBN Market Garden Module is an add-on Module for Combat Mission Battle for Normandy that portrays the famous battles for the bridges over the Rhine. You wil...","CMBN Market Garden Module is an add-on Module for Combat Mission Battle for Normandy that portrays the famous battles for the bridges over the Rhine. You wil...","none","1","","33.99","11.83","Accessories","cj,accessories,slitherineltd","https://www.yuplay.com/media/products/combat-mission-battle-for-normandy-market-garden/616/c06939fa38b424a078acac7f19ece26691ac97fb.jpg","https://www.yuplay.com/product/combat-mission-battle-for-normandy-market-garden/?partner=cj","Ver Oferta","CJ","Slitherine Ltd"
